                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  182074600
  IPC                                |       0.43
  Time (ns)                          |   91037300
  Idle time (ns)                     |        126
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420902
  num incorrect                      |      65651
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058489
    num misses                       |        124
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        202
    num misses                       |        175
    miss rate                        |     86.63%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608278
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058499
    num cache misses                 |    4058124
    miss rate                        |     11.58%
    mpki                             |      52.33
  Cache L2                           |           
    num cache accesses               |    5672154
    num cache misses                 |     116632
    miss rate                        |      2.06%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129178
  average dram access latency (ns)   |     204.37
  average dram queueing delay        |       0.15
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104743
  num loads from dram cache          |          0
  num loads from remote cache        |          0
