                                     | Core 0    
  Instructions                       |   77549775
  Cycles                             |  127239000
  IPC                                |       0.61
  Time (ns)                          |   63619500
  Idle time (ns)                     |         91
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420852
  num incorrect                      |      65701
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058498
    num misses                       |        103
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        181
    num misses                       |        176
    miss rate                        |     97.24%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608275
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058508
    num cache misses                 |    3999211
    miss rate                        |     11.41%
    mpki                             |      51.57
  Cache L2                           |           
    num cache accesses               |    5611835
    num cache misses                 |     116506
    miss rate                        |      2.08%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129044
  average dram access latency (ns)   |     204.33
  average dram queueing delay        |       0.11
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104213
  num loads from dram cache          |          0
  num loads from remote cache        |          0
