                                     | Core 0    
  Instructions                       |   77549761
  Cycles                             |  273939400
  IPC                                |       0.28
  Time (ns)                          |  136969700
  Idle time (ns)                     |        196
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420895
  num incorrect                      |      65658
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058491
    num misses                       |        108
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        186
    num misses                       |        175
    miss rate                        |     94.09%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608275
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058501
    num cache misses                 |    3856335
    miss rate                        |     11.00%
    mpki                             |      49.73
  Cache L2                           |           
    num cache accesses               |    5470376
    num cache misses                 |     116532
    miss rate                        |      2.13%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129049
  average dram access latency (ns)   |     204.29
  average dram queueing delay        |       0.07
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104248
  num loads from dram cache          |          0
  num loads from remote cache        |          0
