                                     | Core 0    
  Instructions                       |   77549775
  Cycles                             |  192510600
  IPC                                |       0.40
  Time (ns)                          |   96255300
  Idle time (ns)                     |        319
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420849
  num incorrect                      |      65704
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068731
    num misses                       |        115
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        193
    num misses                       |        175
    miss rate                        |     90.67%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608275
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068741
    num cache misses                 |    3989711
    miss rate                        |     11.38%
    mpki                             |      51.45
  Cache L2                           |           
    num cache accesses               |    5603756
    num cache misses                 |     116658
    miss rate                        |      2.08%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129212
  average dram access latency (ns)   |     204.28
  average dram queueing delay        |       0.06
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104513
  num loads from dram cache          |          0
  num loads from remote cache        |          0
